active_bins,correct_rank,ghost_mass_fraction,id,kkt,mass,matched_components,method,minority_rate_recovered,minority_support_recall,partition,r_true,rank,relative_gap,scenario,seconds,selected_penalty,snr,spectral_leakage_fraction,stationarity,success,test_clean_rmse_sigma,test_observed_rmse_sigma,unmatched_mass_fraction,w1_logD
,True,0.0,development_000_single,,27.107014212041115,1,DOME,True,1.0,development,1,1,,single,1.5536708000581712,,50,0.0,,True,0.1841091635382439,1.007461412660419,0.0,0.0
,True,0.0,development_000_single,4.954336352544974e-16,27.107014212043232,1,DOME_S,True,1.0,development,1,1,,single,1.0353676000377163,,50,0.0,1.5132801808259168e-11,True,0.18410916353829515,1.0074614126604557,0.0,0.0
,True,0.0,development_000_single,,27.107014212065838,1,RAI,True,1.0,development,1,1,,single,0.8875145999481902,,50,0.0,,True,0.18410916353884452,1.0074614126608452,0.0,0.0
,True,0.0,development_000_single,4.954336352544974e-16,27.107014212043232,1,RAI_S,True,1.0,development,1,1,,single,1.0239845999749377,,50,0.0,1.5132801808259168e-11,True,0.18410916353829515,1.0074614126604557,0.0,0.0
,True,0.036013840553348275,development_001_double,,24.476563319247184,2,DOME,True,1.0,development,2,2,,double,0.9493823000229895,,50,0.03601384055334821,,True,0.24762859662591724,1.0507425171753915,0.0,0.1030298902468372
,True,0.0005131791839652277,development_001_double,3.522136454587511e-16,24.38750486812161,2,DOME_S,True,1.0,development,2,2,,double,1.3534014999167994,,50,0.0005131791839651243,2.1413018974623006e-08,True,0.21174470730701558,1.030352465744312,0.0,0.03424385389636444
,True,0.03601384466942612,development_001_double,,24.476563284042985,2,RAI,True,1.0,development,2,2,,double,1.0524800000712276,,50,0.03601384466942624,,True,0.24762859699149886,1.0507425176260927,0.0,0.1030298956367506
,True,0.0005131791839652277,development_001_double,3.522136454587511e-16,24.38750486812161,2,RAI_S,True,1.0,development,2,2,,double,1.326903500012122,,50,0.0005131791839651243,2.1413018974623006e-08,True,0.21174470730701558,1.030352465744312,0.0,0.03424385389636444
,True,0.06278982342415391,development_002_triple,,37.13936070803189,3,DOME,True,1.0,development,3,3,,triple,0.7345146000152454,,50,0.06278982342415398,,True,0.27334392644629996,1.0229873562667007,0.0,0.19009050101719363
,True,0.0006290642016334053,development_002_triple,3.062374235835203e-16,36.98521170876249,3,DOME_S,True,1.0000000000000002,development,3,3,,triple,0.7682239999994636,,50,0.0006290642016335166,7.176370196746871e-09,True,0.22302486242920289,1.021042696624951,0.0,0.05232606696130145
,False,0.2704511546946351,development_002_triple,,37.317802040969156,2,RAI,True,1.0,development,3,2,,triple,1.3089217999950051,,50,0.27045115469463504,,True,0.533652160825101,1.1205235646380465,1.9040315798342961e-16,0.4574483300177518
,True,0.0006290642016334053,development_002_triple,3.062374235835203e-16,36.98521170876249,3,RAI_S,True,1.0000000000000002,development,3,3,,triple,1.367277599987574,,50,0.0006290642016335166,7.176370196746871e-09,True,0.22302486242920289,1.021042696624951,0.0,0.05232606696130145
,False,0.034339567901312804,development_003_weak,,47.3710664460003,2,DOME,False,0.0,development,3,2,,weak,1.0203645000001416,,50,0.03433956790131287,,True,0.27122662035072237,0.9922624043682847,0.0,0.0926007053896374
,False,0.029747548527120013,development_003_weak,5.330907299873029e-16,47.373685817048056,2,DOME_S,False,0.0,development,3,2,,weak,1.1416318999836221,,50,0.029747548527120016,8.639310467771206e-10,True,0.25623950683702046,0.9902315672793085,0.0,0.07703264028284983
,False,0.0343395681493374,development_003_weak,,47.371066442156945,2,RAI,False,0.0,development,3,2,,weak,1.3526460999855772,,50,0.034339568149337245,,True,0.27122662053140606,0.9922624044901599,0.0,0.09260070569882889
,False,0.029747548527120013,development_003_weak,5.330907299873029e-16,47.373685817048056,2,RAI_S,False,0.0,development,3,2,,weak,1.4869299998972565,,50,0.029747548527120016,8.639310467771206e-10,True,0.25623950683702046,0.9902315672793085,0.0,0.07703264028284983
,False,0.2149876364613743,development_004_close,,28.389933170226044,2,DOME,True,1.0,development,3,2,,close,0.8069463999709114,,50,0.21498763646137434,,True,0.26839551989182076,1.0168956271898189,0.0,0.21568829477985235
,False,0.20984143903355093,development_004_close,3.1124564519962946e-16,28.34111081214688,2,DOME_S,True,1.0000000000000002,development,3,2,,close,0.8669568999903277,,50,0.20984143903355104,3.079619376829594e-08,True,0.2602677047112542,1.0130142644537625,0.0,0.19590842091430144
,False,0.21498763673817803,development_004_close,,28.389932803265346,2,RAI,True,1.0,development,3,2,,close,1.5549080000491813,,50,0.21498763673817806,,True,0.26839552026636804,1.016895619157053,0.0,0.21568830240535583
,False,0.20984143903355093,development_004_close,3.1124564519962946e-16,28.34111081214688,2,RAI_S,True,1.0000000000000002,development,3,2,,close,1.5847192000364885,,50,0.20984143903355104,3.079619376829594e-08,True,0.2602677047112542,1.0130142644537625,0.0,0.19590842091430144
,False,0.41851135140506796,development_005_proportional,,21.72646024596599,1,DOME,False,0.0,development,3,2,,proportional,1.3794589000754058,,50,0.0,,True,0.2670765979540531,1.040676277709365,0.41851135140506796,0.4276620183214187
,False,0.4185115635996693,development_005_proportional,2.0202490446002156e-16,21.72646000621946,1,DOME_S,False,0.0,development,3,2,,proportional,0.7920838000718504,,50,0.0,1.212081348023585e-07,True,0.2670765894958429,1.0406762754386805,0.4185115635996693,0.42766188470730493
,False,0.4185108947142736,development_005_proportional,,21.726460761905507,1,RAI,False,0.0,development,3,2,,proportional,0.6807984999613836,,50,0.0,,True,0.26707661616219147,1.0406762825986249,0.4185108947142736,0.427662305889465
,False,0.41851156362303393,development_005_proportional,3.403569133340459e-16,21.726460006193058,1,RAI_S,False,0.0,development,3,2,,proportional,0.7293444001115859,,50,0.0,1.2121237147555078e-07,True,0.26707658949491186,1.0406762754384307,0.41851156362303393,0.4276618846925929
,True,0.0,development_006_null,,0.0,0,DOME,,,development,0,0,,null,0.5775603000074625,,50,0.0,,True,0.0,1.0153098123368394,0.0,0.0
,True,0.0,development_006_null,0.0,0.0,0,DOME_S,,,development,0,0,,null,0.7765980999683961,,50,0.0,,True,0.0,1.0153098123368394,0.0,0.0
,True,0.0,development_006_null,,0.0,0,RAI,,,development,0,0,,null,0.3488847999833524,,50,0.0,,True,0.0,1.0153098123368394,0.0,0.0
,True,0.0,development_006_null,0.0,0.0,0,RAI_S,,,development,0,0,,null,0.35469329997431487,,50,0.0,,True,0.0,1.0153098123368394,0.0,0.0
,True,0.09036551641582412,development_007_broad,,31.160282850500558,3,DOME,True,1.0,development,3,3,,broad,0.8553356999764219,,50,0.09036551641582402,,True,0.27558075893875694,1.0242515812612145,0.0,0.24459578466697307
,True,0.00012445122850346388,development_007_broad,4.593086660289127e-16,30.911763078239606,3,DOME_S,True,1.0000000000000002,development,3,3,,broad,1.1975929000182077,,50,0.0001244512285034158,2.932634657540408e-08,True,0.2275116627000159,1.0125926699546952,1.1493080060844024e-16,0.18193112210090537
,False,0.6462986160740252,development_007_broad,,30.86938422113304,1,RAI,False,0.0,development,3,2,,broad,1.1406729000154883,,50,0.10931748293635137,,True,0.377417204430565,1.0540756081943905,0.6028872497778024,0.3993243970392722
,True,0.00012445122850346388,development_007_broad,4.593086660289127e-16,30.911763078239606,3,RAI_S,True,1.0000000000000002,development,3,3,,broad,1.2469961000606418,,50,0.0001244512285034158,2.932634657540408e-08,True,0.2275116627000159,1.0125926699546952,1.1493080060844024e-16,0.18193112210090537
,True,0.0,development_008_single,,21.645202867106843,1,DOME,True,1.0,development,1,1,,single,1.7357541000237688,,100,0.0,,True,0.1871020275261622,0.9717734808272831,0.0,0.0006368840753350423
,True,0.0,development_008_single,2.855248168731495e-16,21.6452028670941,1,DOME_S,True,1.0,development,1,1,,single,1.238928999984637,,100,0.0,6.820025488247566e-13,True,0.18710202752630742,0.9717734808273837,0.0,0.0006368840753350423
,True,0.0,development_008_single,,21.64520286709446,1,RAI,True,1.0,development,1,1,,single,1.1490965000120923,,100,0.0,,True,0.18710202752630412,0.9717734808273809,0.0,0.0006368840753350423
,True,0.0,development_008_single,2.855248168731495e-16,21.6452028670941,1,RAI_S,True,1.0,development,1,1,,single,1.061662899912335,,100,0.0,6.820025488247566e-13,True,0.18710202752630742,0.9717734808273837,0.0,0.0006368840753350423
,True,0.013335066563373108,development_009_double,,32.54248658902243,2,DOME,True,1.0,development,2,2,,double,1.33623840007931,,100,0.01333506656337309,,True,0.23522415545012568,1.0886059511171737,0.0,0.033110963971971705
,True,0.00034509315279176127,development_009_double,2.293256101591947e-16,32.486331046352774,2,DOME_S,True,1.0000000000000004,development,2,2,,double,1.1779439999954775,,100,0.0003450931527917253,3.4225855798144104e-10,True,0.20514782594968692,1.08089920516737,0.0,0.006112028140634109
,True,0.013335066010413616,development_009_double,,32.54248657694306,2,RAI,True,1.0,development,2,2,,double,1.525736799929291,,100,0.013335066010413689,,True,0.23522415355876888,1.0886059507300148,0.0,0.03311096347605091
,True,0.00034509315279176127,development_009_double,2.293256101591947e-16,32.486331046352774,2,RAI_S,True,1.0000000000000004,development,2,2,,double,1.3826622000196949,,100,0.0003450931527917253,3.4225855798144104e-10,True,0.20514782594968692,1.08089920516737,0.0,0.006112028140634109
,True,0.05916817373450737,development_010_triple,,32.26259886345659,3,DOME,True,1.0,development,3,3,,triple,0.6956271000672132,,100,0.0591681737345074,,True,0.2822953898108409,1.040696863697382,0.0,0.15753797893326038
,True,0.0019233503732001018,development_010_triple,4.719103698326301e-16,32.119914792314034,3,DOME_S,True,1.0000000000000002,development,3,3,,triple,0.6576985999708995,,100,0.0019233503731999372,4.441815055148811e-09,True,0.22484399039995598,1.0286262057477862,0.0,0.04483264137110936
,True,0.05916815990506921,development_010_triple,,32.26259887424149,3,RAI,True,1.0,development,3,3,,triple,1.3622696000384167,,100,0.05916815990506914,,True,0.2822953848235902,1.0406968622067594,0.0,0.15753795664945516
,True,0.0019233503732001018,development_010_triple,4.719103698326301e-16,32.119914792314034,3,RAI_S,True,1.0000000000000002,development,3,3,,triple,1.3679942999733612,,100,0.0019233503731999372,4.441815055148811e-09,True,0.22484399039995598,1.0286262057477862,0.0,0.04483264137110936
,False,0.019543631013551936,development_011_weak,,35.77310914810694,2,DOME,False,0.0,development,3,2,,weak,2.5799999000737444,,100,0.01954363101355179,,True,0.2468262713094642,1.0448182631481508,0.0,0.06262222293260111
,False,0.010864082004665734,development_011_weak,4.208604226021232e-16,35.739156474941794,2,DOME_S,False,0.0,development,3,2,,weak,1.1688036000123248,,100,0.010864082004665916,4.4365886258239345e-11,True,0.22111703600645985,1.0401329777956445,0.0,0.039422226759149824
,False,0.01954363089671615,development_011_weak,,35.773109149011134,2,RAI,False,0.0,development,3,2,,weak,1.5547715000575408,,100,0.01954363089671591,,True,0.24682627125822645,1.0448182632012315,1.9862481977743932e-16,0.06262222257507519
